Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Bosnia and Herzegovina,BIH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.24225822231566,3.24409895306594,3.82900399349064,2.88585242083978,-3.01509335460439,7.39164256472846,4.22681333390325,1.99439414850893,3.22679979810856,2.12861913138053
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,4928.5665903114,5345.01978766473,6047.84707207392,6122.37541352353,6130.31187968266,7295.34378682258,7655.59421024383,8663.02326458629,9397.90942855997,10381.8460703874
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.124,77.385,77.942,77.394,76.04,74.567,76.777,77.85,78.044,..
Bosnia and Herzegovina,BIH,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,25.408,20.527,18.4,15.692,15.868,14.897,12.657,10.668,10.706,..
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,15082637184.0496,16105155856.7708,17031943186.1353,16725908148.5481,14960251607.8135,18750182236.2211,20321150599.1523,19413614554.6944,19286251067.5078,19928479839.4476
Botswana,BWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.20442475914267,4.11437856445083,4.18869237159223,3.0317733945467,-8.72888243996397,11.9162724376008,5.48601706446772,3.20806812224438,-2.77988981666252,-0.733898323852287
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,6749.05994339013,7104.96401088027,7407.95940141786,7172.08956480028,6323.2974967659,7807.88794570471,8328.7090572666,7827.30027960734,7649.81663744354,7778.1151090571
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.32,65.42,66.371,67.167,67.643,63.303,68.749,69.163,69.293,..
Botswana,BWA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,20.094,21.017,23.106,23.615,23.381,24.433,..
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1795693482853.01,2063514977365.65,1916933898010.99,1873288205059.69,1476107231310.49,1670647398904.9,1951923942083.32,2191131765684.63,2185821610689.31,2279920092492.13
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3.27591690782192,1.32286905404399,1.783666761634,1.22077782360842,-3.2767587964736,4.76260437908608,3.01669435393015,3.24165532906981,3.41931516501906,2.2857464902475
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,8836.28652735657,10080.5092819305,9300.66164923219,9029.83326681073,7074.19378337644,7972.5366498646,9281.33334441234,10377.5892792557,10310.5486973693,10713.2856869511
